QUEST_UNUSED_20150317_000001	なるほど、パードナーマスターへの道だな。武運を祈る！
QUEST_UNUSED_20150729_000339	終わらない取引(1)
QUEST_UNUSED_20150729_000340	終わらない取引(2)
QUEST_UNUSED_20150729_000341	終わらない取引(3)
QUEST_UNUSED_20150729_000342	終わらない取引(4)
QUEST_UNUSED_20150729_000343	ルグィン家の悲劇(1)
QUEST_UNUSED_20150729_000344	ルグィン家の悲劇(2)
QUEST_UNUSED_20150729_000345	ルグィン家の悲劇(3)
QUEST_UNUSED_20150729_000346	進行
QUEST_UNUSED_20150730_000347	
QUEST_UNUSED_20150730_000348	
QUEST_UNUSED_20150730_000349	
QUEST_UNUSED_20150803_000350	団員イルマンタスと話す
QUEST_UNUSED_20150803_000351	団員グラジナを探す
QUEST_UNUSED_20150803_000352	近くから誰かの呼ぶ声が聞こえます。
QUEST_UNUSED_20150803_000353	団員グラジナと話す
QUEST_UNUSED_20150803_000354	イルマンタスに物を届ける
QUEST_UNUSED_20150803_000355	団員アリーナを訪ねる
QUEST_UNUSED_20150803_000356	団員アリーナと話す
QUEST_UNUSED_20150803_000357	
QUEST_UNUSED_20150804_000358	王陵に接近するにはジャカリエル大王の全ての試練を乗り越えなければなりません。次のソ連の証を手に入れるため、史学者レキシファーと話してみましょう。
QUEST_UNUSED_20150811_000359	この十字路の右側にモンスターたちの巣があります。{nl}お腹がいっぱいになってまだ食べられていない仲間がまだ残っているかもしれません。
QUEST_UNUSED_20150811_000360	
QUEST_UNUSED_20150811_000361	
QUEST_UNUSED_20150904_000362	アーチャーマスターから送られてきたのか。{nl}クラペダは徐々に平和を取り戻しつつあるが、フェディミアンはまだこの有り様だ。
QUEST_UNUSED_20150904_000363	君には魔術師の塔のボス級モンスターを任せよう。{nl}フェディミアンの再建にも人手が足りないのに塔からモンスターまで溢れ出てきているんだ。
QUEST_UNUSED_20150904_000364	潜入に成功した偵察兵によると、魔術師の塔3階のミノタウロスがボスらしい。{nl}そのモンスターを倒せば十分な警告となるだろう。
QUEST_UNUSED_20150904_000365	ご苦労だった。おかげでモンスターの勢いが収まったらしい。{nl}アーチャーマスターにも礼を伝えてくれ。
QUEST_UNUSED_20150904_000366	燃やしています
QUEST_UNUSED_20150904_000367	保管所の痕跡すら残っていません。
QUEST_UNUSED_20150904_000368	道をふさいでいるモンスターを退治してください！
QUEST_UNUSED_20150904_000369	道をふさいでいるモンスターを全部退治しました！
QUEST_UNUSED_20150904_000370	霊魂の遺骨箱を弱いフクロウの彫像に届けました
QUEST_UNUSED_20150904_000371	ウェアウルフを退治してください！
QUEST_UNUSED_20150904_000372	いきなり現れたマッシュカリアを退治してください！
QUEST_UNUSED_20150904_000373	死者の冥福を祈っています
QUEST_UNUSED_20150904_000374	冥福を祈っています
QUEST_UNUSED_20150904_000375	死んだ兵士の冥福を祈りました！
QUEST_UNUSED_20150904_000376	漁っています
QUEST_UNUSED_20150904_000377	漁っています
QUEST_UNUSED_20150904_000378	補給品箱を破壊して逃げたゴブリンを追跡してください！
QUEST_UNUSED_20150904_000379	逃げたゴブリン族を追跡してください！
QUEST_UNUSED_20150904_000380	次の地域へ移動してください
QUEST_UNUSED_20150904_000381	道をふさいでいるモンスター退治！
QUEST_UNUSED_20150904_000382	道をふさいでいるモンスター退治完了！
QUEST_UNUSED_20150904_000383	壊れたフクロウの彫像の周辺にモンスターが現れました！
QUEST_UNUSED_20150904_000384	フクロウの彫像を壊した犯人であるマッシュウォートが現れました！
QUEST_UNUSED_20150904_000385	火をつけようとすると、突然モンスターが押し寄せて来ました！{nl}とりあえずモンスターを退治して火をつけましょう！
QUEST_UNUSED_20150904_000386	フクロウの彫像を燃やしました！
QUEST_UNUSED_20150904_000387	火をつけています
QUEST_UNUSED_20150904_000388	彫像の山の火を守りながらモンスターを全部退治してください！
QUEST_UNUSED_20150904_000389	道をふさいでいるレプスを退治してください！
QUEST_UNUSED_20150904_000390	道をふさいでいるレプスを退治しました！
QUEST_UNUSED_20150904_000391	シャウレムたちが阻止するために襲いかかります！
QUEST_UNUSED_20150904_000392	状況を伝えています
QUEST_UNUSED_20150904_000393	聞いた話を伝えています
QUEST_UNUSED_20150911_000394	収集商のコレクション
QUEST_UNUSED_20150911_000395	収集商と話す
QUEST_UNUSED_20150911_000396	収集品獲得
QUEST_UNUSED_20151014_000397	女神の夢を見た啓示者ですか。{nl}私はシャウレイとクラペダを担当する騎士団長、ウスカです。{nl}
QUEST_UNUSED_20151014_000398	今の王国があらゆる希望を失ってしまいました。{nl}再び立ち上がる意志すら奪われたまま…女神の名だけを叫んでいるのです。{nl}
QUEST_UNUSED_20151014_000399	正直、私は啓示者の方々の存在で未来を楽観視できてはいません。{nl}一つの街を背負っている責任者なので…。{nl}
QUEST_UNUSED_20151014_000400	街の人々にまた絶望を味わわせるわけにはいかないのです。
QUEST_UNUSED_20151014_000401	それはともかく…司教様も啓示の夢を見ました。{nl}啓示者が来たら水晶鉱山へ向かわせよとおっしゃったそうです。{nl}
QUEST_UNUSED_20151014_000402	しかし、現在鉱山の村はゴブリンと交戦中なので、立ち入りを制限しています。{nl}東の森にいる騎士アラスが担当なので、彼に会ってみてください。
QUEST_UNUSED_20151014_000403	この森のモンスターが増えたのはゴブリンファイターのせいだったんですね。{nl}ゴブリンファイターがどれくらいいるのか調べてみてください。{nl}
QUEST_UNUSED_20151014_000404	あれ、あんたってあの有名な啓示者様じゃない？{nl}だったら…一つ提案させてよ。あんた、一緒に仕事してみない？{nl}
QUEST_UNUSED_20151014_000405	大地の要塞がルクリス軍の最後の抵抗地だったってことは知ってるね？{nl}でも、それだけじゃない。ここからは秘密なんだけどさ…その前に質問があるんだ。{nl}
QUEST_UNUSED_20151014_000406	ねえ、あんたは誰の味方？{nl}王国軍？それともカリス騎士団？{nl}答え次第では、あたいとは縁が無かったってことだね。
QUEST_UNUSED_20151014_000407	王国軍に見つからないように気を付けて。{nl}気付かれても適当に笑ってごまかすんだよ。
QUEST_UNUSED_20151014_000408	集結地でガーゴイルの石像を見ただろ？{nl}あれがガーゴイルさ。{nl}
QUEST_UNUSED_20151014_000409	何故かあたいが要塞に入ろうとすると、突然動きだして邪魔をするんだよ。{nl}騒ぎを起こさずにあたいたちの力で倒すのは不可能だね。
QUEST_UNUSED_20151014_000410	シャウレイ東の森にいるポアタが住民を脅かしてるらしいの。{nl}女神の名のもとに奴をやっつけてくれたら私の魔法を伝授してあげるわ。
QUEST_UNUSED_20151014_000411	君を初めて見た時はあまりに未熟だと思ったのだが…。{nl}今は私よりも有名になったようだな。{nl}
QUEST_UNUSED_20151014_000412	ご苦労だった。{nl}これからも実戦の経験を積んで私の下で剣を学べば、良い剣士になれるはずだ。
QUEST_UNUSED_20151014_000413	あたしにローグの教えを受けに来たの？{nl}ちょうど良かった。{nl}あんたのローグとしての実力を検証しつつ、あたしの問題も解決できる一石二鳥の方法があるんだ。{nl}
QUEST_UNUSED_20151014_000414	スカウトマスターとあたしは昔、親友って呼べる仲だったんだけど、今はちょっと気まずいんだよね。{nl}何かプレゼントでもして姦計を回復させたいんだけど…あたしが自分で行くのは目立ちすぎるでしょ？{nl}あんたが代わりにこっそりプレゼントを届けてよ。
QUEST_UNUSED_20151014_000415	ありがと。でも、これもあんたの試験なの。{nl}プレゼントを届ける時にもスカウトマスターに気付かれないようにこっそり置いて来て。{nl}アドバイスするなら、こういうことは相手の後ろから行くのが基本ってことかな。
QUEST_UNUSED_20151014_000416	ちゃんと届けたみたいだね。{nl}あとで確認したらきっと驚くよね。{nl}
QUEST_UNUSED_20151014_000417	次はあんたとの約束を果たさなきゃ。{nl}スカウトマスターに気付かれずに物を置いて来れたなら、あんたもかなりのやり手だから、すぐに出来るようになると思うよ。
QUEST_UNUSED_20151014_000418	フレッチャーのスキルを学びに来たのか。{nl}君の水準で教えを請う場合は、その対価もかなり難しい物になるということは肝に銘じてほし。{nl}
QUEST_UNUSED_20151014_000419	私は昔から初代フレッチャーマスターが作った矢を探していてな。{nl}リディア・シャッフェンに贈るほどの矢だから、そこに込められた技術は普通じゃないはずだ。{nl}最近、残っている矢の所在に関する情報を手に入れたのだが、この件はその矢の価値が分かる者でないと任せられないだろう。
QUEST_UNUSED_20151014_000420	私が手に入れた情報によると、峡谷地帯 36_1で見つかるらしい。{nl}何か凶暴なもうスタート戦う時に使われたらしいから、気を付けるんだぞ。
QUEST_UNUSED_20151014_000421	おお、見るからに凄さを感じるな。{nl}すぐにでもこの矢を研究したいところだが、君との約束を守らなければ。{nl}さあ、私のスキルを見せるから、しっかり見て覚えるんだぞ。
QUEST_UNUSED_20151014_000422	ファルコナーマスターとして色んなことを試してファルコナーがさらに強くなる方法を探しているんだ。{nl}その中の一つとして、鷹の代わりに空を飛ぶモンスターを使えないかと考えていてな。{nl}
QUEST_UNUSED_20151014_000423	もちろん、パートナーのリースには満足しているが、こういう試みもファルコナーたちの役に立つはずだ。
QUEST_UNUSED_20151014_000424	鷹を馴らす時のように、エサでもやってみるか。{nl}大して期待はしていないから、とりあえず試してみてくれ。{nl}エサはたっぷり入れておいたから、少なくとも三種類のモンスターに試すこと。
QUEST_UNUSED_20151014_000425	やっぱり失敗か。残念だが予想通りだな。{nl}結果はどうあれ、君の努力には報いないと。{nl}よし、私自ら指導してやろう。
QUEST_UNUSED_20151014_000426	さらに高度なスキルを学びたいのか？{nl}シュヴァルツライターの高度なスキルを学ぶには、それだけの実力が伴わなければならない。{nl}とにかく重要なのは、確実に敵を撃ち、命中させることだ。
QUEST_UNUSED_20151014_000427	自信があるところは気に入ったぞ。{nl}だが、口だけではないか確認させてもらおうか。{nl}一般 モンスターのところへ行って、ミスなしで連続200回命中させれば、認めてやろう。
QUEST_UNUSED_20151014_000428	なるほど、口だけでは無かったようだな。{nl}それほどの実力ならば、私も教えがいがあるというものだ。
QUEST_UNUSED_20151014_000429	モンクのスキルを学びに来たのか？{nl}では、ちょうど良かった。君にならば安心して任せられそうだ。{nl}頼みたいことがあるのだよ。{nl}
QUEST_UNUSED_20151014_000430	私は過去に犯した失敗を今でも後悔している。{nl}そのことに対する贖罪も兼ねてある者たちを支援しているのだが、それが知られれば困ったことになるのだ。{nl}彼らに物を一つ届けるだけなのだが、うまくできれば実力を認めてスキルを伝授しよう。
QUEST_UNUSED_20151014_000431	そのことで私を恨んでいる人も多い。{nl}だが、その人たちのためというわけではない。{nl}単に私自身の失敗に対する責任を取っているのだ。
QUEST_UNUSED_20151014_000432	しっかり届けたか？{nl}では、次は私からスキルを学ぶ番だな。
